id,name,rating,total_revenue,year,distributor_id,genre_id
1,Batman Forever,PG-13,387522978,1995,2,3
2,Independence Day,PG-13,634504608,1996,5,1
3,Men in Black,PG-13,500207943,1997,3,1
4,Titanic,PG-13,865842808,1998,6,1
5,Star Wars Ep. I: The Phantom Menace,PG,776153749,1999,5,1
6,How the Grinch Stole Christmas,PG,430583644,2000,4,1
7,Harry Potter and the Sorcerer’s Stone,PG,486166890,2001,2,1
8,Spider-Man,PG-13,636480273,2002,3,1
9,Finding Nemo,G,516050346,2003,1,1
10,Shrek 2,PG,650826473,2004,9,1
11,Star Wars Ep. III: Revenge of the Sith,PG-13,543413171,2005,5,2
12,Pirates of the Caribbean: Dead Man’s Chest,PG-13,591995851,2006,1,2
13,Spider-Man 3,PG-13,448054878,2007,3,1
14,The Dark Knight,PG-13,677433772,2008,2,1
15,Transformers: Revenge of the Fallen,PG-13,491112631,2009,6,2
16,Toy Story 3,G,481805411,2010,1,2
17,Harry Potter and the Deathly Hallows: Part II,PG-13,440108798,2011,2,2
18,The Avengers,PG-13,717331462,2012,1,1
19,Iron Man 3,PG-13,460808016,2013,1,1
20,Guardians of the Galaxy,PG-13,373413235,2014,1,1
21,Star Wars Ep. VII: The Force Awakens,PG-13,806480887,2015,1,2
22,Finding Dory,PG,514967322,2016,1,2
23,Star Wars Ep. VIII: The Last Jedi,PG-13,528173936,2017,1,2
24,Black Panther,PG-13,703901821,2018,1,2
